Date,Time,Age,Gender,NexusMember,NexusNumber,Outlet_Name,Address,InvoiceNumber,Item_Code,Item_Description,Department,Item_Category,Quantity,Unit_Price,Discount,TotalValue,Payment_Method,Loyalty_Points_Earned,Profit
2025-01-15,15:35:38,46,Male,No,,Cargills Food City - Battaramulla,"33 Main St, Battaramulla",120000,19,NESCAFE ICE COLD COFFEE 180ML,Beverages,RTD Beverages,2,160.0,15,272.0,Mobile Payment,0,93.53
2025-03-05,06:45:15,55,Female,Yes,791270.0,Cargills Food City - Malabe,"780 Kaduwela Rd, Malabe",120001,15,CLOGARD TOOTH PASTE 200G,Household,Oral Care,3,195.0,5,555.75,Cash,19,104.12
2025-01-08,13:03:41,34,Female,No,,Cargills Food City - Maharagama,"125 Piliyandala Rd, Maharagama",120002,35,Tiara Chocolate Layer Cake 310g,Bakery,Cakes,4,522.0,0,2088.0,Mobile Payment,19,617.11
2025-07-08,14:27:51,45,Female,Yes,532117.0,Cargills Food City - Nugegoda,"210 High Level Rd, Nugegoda",120003,11,VELVET HAND WASH REFILL ROSE 200ML,Household,Hand & Body Care,3,175.0,10,472.5,Mobile Payment,0,165.35
2024-12-10,04:05:44,25,Female,Yes,840405.0,Cargills Food City - Nugegoda,"210 High Level Rd, Nugegoda",120004,5,BABY CHERAMY SOAP POKURUWA SADUN 5IN1,Household,Baby Needs,4,530.0,0,2120.0,Mobile Payment,15,375.34
2025-06-02,02:26:21,19,Female,No,,Cargills Food City - Malabe,"780 Kaduwela Rd, Malabe",120005,14,MYSOORE DHAL BULK KG,Grocery,Pulses,3,265.0,15,675.75,Mobile Payment,2,170.97
2024-12-17,06:57:26,25,Female,No,,Cargills Food City - Maharagama,"125 Piliyandala Rd, Maharagama",120006,16,CIC BASMATHI RICE BULK,Grocery,Pulses,1,698.0,0,698.0,Mobile Payment,15,134.78
2025-03-08,22:03:02,18,Female,Yes,562764.0,Cargills Food City - Battaramulla,"33 Main St, Battaramulla",120007,32,EVA SANITARY NAPKIN DRYTEX WINGS 20S,Household,Personal Hygiene,2,320.0,10,576.0,Mobile Payment,2,137.11
2025-04-19,07:23:47,60,Male,No,,Cargills Food City - Malabe,"780 Kaduwela Rd, Malabe",120008,9,Garlic 250g,Grocery,Vegetables,3,230.0,0,690.0,Mobile Payment,5,140.44
2025-02-16,14:04:04,34,Female,Yes,687924.0,Cargills Food City - Maharagama,"125 Piliyandala Rd, Maharagama",120009,46,EVA SANITARY NAPKIN DRYTEX WINGS 20S,Household,Personal Hygiene,2,320.0,0,640.0,Card,1,171.67
2025-07-10,08:38:23,28,Male,No,,Cargills Food City - Maharagama,"125 Piliyandala Rd, Maharagama",120010,27,Tiara Chocolate Layer Cake 310g,Bakery,Cakes,2,522.0,0,1044.0,Card,15,212.85
2025-02-24,00:06:01,52,Male,No,,Cargills Food City - Nugegoda,"210 High Level Rd, Nugegoda",120011,6,KNORR SEASONING CUBE 15*20G,Grocery,Seasoning & Coconut Cream,2,50.0,15,85.0,Cash,0,23.41
