Age,NexusMember,Item_Description,Item_Category,Quantity,Unit_Price,Discount,TotalValue,Loyalty_Points_Earned,Profit,Year,Month,Day,DayOfWeek,WeekOfYear,Gender_Female,Gender_Male,Outlet_Name_Cargills Food City - Battaramulla,Outlet_Name_Cargills Food City - Maharagama,Outlet_Name_Cargills Food City - Malabe,Outlet_Name_Cargills Food City - Nugegoda,Payment_Method_Card,Payment_Method_Cash,Payment_Method_Mobile Payment,Department_Baby Care,Department_Bakery,Department_Beverages,Department_Frozen Food,Department_Fruits,Department_Grocery,Department_Household
46,0,NESCAFE ICE COLD COFFEE 180ML,RTD Beverages,2,160.0,15,272.0,0,93.53,2025,1,15,2,3,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False
55,1,CLOGARD TOOTH PASTE 200G,Oral Care,3,195.0,5,555.75,19,104.12,2025,3,5,2,10,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True
34,0,Tiara Chocolate Layer Cake 310g,Cakes,4,522.0,0,2088.0,19,617.11,2025,1,8,2,2,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False
45,1,VELVET HAND WASH REFILL ROSE 200ML,Hand & Body Care,3,175.0,10,472.5,0,165.35,2025,7,8,1,28,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True
25,1,BABY CHERAMY SOAP POKURUWA SADUN 5IN1,Baby Needs,4,530.0,0,2120.0,15,375.34,2024,12,10,1,50,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True
19,0,MYSOORE DHAL BULK KG,Pulses,3,265.0,15,675.75,2,170.97,2025,6,2,0,23,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
25,0,CIC BASMATHI RICE BULK,Pulses,1,698.0,0,698.0,15,134.78,2024,12,17,1,51,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
18,1,EVA SANITARY NAPKIN DRYTEX WINGS 20S,Personal Hygiene,2,320.0,10,576.0,2,137.11,2025,3,8,5,10,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
60,0,Garlic 250g,Vegetables,3,230.0,0,690.0,5,140.44,2025,4,19,5,16,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False
34,1,EVA SANITARY NAPKIN DRYTEX WINGS 20S,Personal Hygiene,2,320.0,0,640.0,1,171.67,2025,2,16,6,7,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True
28,0,Tiara Chocolate Layer Cake 310g,Cakes,2,522.0,0,1044.0,15,212.85,2025,7,10,3,28,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False
52,0,KNORR SEASONING CUBE 15*20G,Seasoning & Coconut Cream,2,50.0,15,85.0,0,23.41,2025,2,24,0,9,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False
20,1,Anchor Full Cream Milk Powder 400g,Milk Powder,2,1200.0,10,2160.0,1,481.71,2025,7,9,2,28,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False
59,0,IMORICH CHOC CHOC CHIP 1L,Desserts,2,775.0,0,1550.0,13,508.38,2025,3,23,6,12,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False
19,0,MILO PACKET 600G,Malt Drink,3,645.0,15,1644.75,1,536.49,2024,9,29,6,39,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False
59,1,RITZBURY BLUEBERRY CHOCOLATE 45G,Confectionery,4,120.0,15,408.0,0,106.97,2024,10,9,2,41,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False
47,0,MYSOORE DHAL BULK KG,Pulses,2,265.0,15,450.5,0,121.95,2025,6,19,3,25,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
42,0,Edinborough Mayonnaise 350g,Sauces & Condiments,4,1230.0,10,4428.0,11,668.55,2025,2,25,1,9,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False
51,0,CLOGARD TOOTHPASTE 120G,Oral Care,3,248.0,0,744.0,16,163.89,2025,6,3,1,23,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True
56,1,KREST CHICKEN SAUSAGES S/LESS 250G,Processed/Preserved Meat,1,375.0,10,337.5,0,99.98,2025,5,17,5,20,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False
36,0,IMORICH CHOC CHOC CHIP 1L,Desserts,1,775.0,10,697.5,5,117.3,2025,1,28,1,5,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
44,1,NEW RATHNA ROSE RAW RICE 1KG,Pulses,2,750.0,0,1500.0,20,263.55,2025,3,14,4,11,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False
45,1,RICE SAMBA BULK KG - LOCAL,Pulses,4,835.0,0,3340.0,5,1151.92,2025,2,15,5,7,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False
25,0,Pears Baby Cologne Active Floral 100ml,Baby Cologne,3,431.25,15,1099.69,5,318.64,2025,7,7,0,28,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False
31,1,EVA SANITARY NAPKIN DRYTEX WINGS 20S,Personal Hygiene,2,320.0,5,608.0,19,148.73,2024,8,12,0,33,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True
35,0,SUNQUICK B/CURRENT STD 330ML,Concentrated Fruit Drinks,3,490.0,10,1323.0,6,377.13,2024,10,24,3,43,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False
36,1,MILO PACKET 600G,Malt Drink,2,645.0,5,1225.5,15,350.23,2025,3,1,5,9,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False
25,1,Goldi Chicken Meatballs 500g,Meatballs,1,880.0,15,748.0,18,256.78,2024,8,12,0,33,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False
22,1,MANGO - K/C,Inorganic,2,129.0,15,219.3,0,52.94,2025,4,7,0,15,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
42,0,RICE SUPIRI KEERI SAMBA BULK KG,Pulses,3,291.0,0,873.0,15,295.72,2025,6,23,0,26,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False
33,0,EH GINGER BEER 1.5L,Juices & Carbonates,2,220.0,5,418.0,0,110.72,2024,12,6,4,49,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
26,1,RICHLIFE CHOCOLATE FLY MILK 180ML,RTD Beverages,3,140.0,10,378.0,0,65.51,2024,9,4,2,36,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False
38,1,WATAWALA KAHATA TEA POUCH 400G,Tea,3,500.0,0,1500.0,4,514.84,2025,1,30,3,5,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False
22,0,Delmege Chicken Flavoured Soya Meat 90g,Soya Products,2,170.0,10,306.0,0,83.4,2024,12,12,3,50,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False
55,1,RITZBURY BLUEBERRY CHOCOLATE 45G,Confectionery,1,120.0,15,102.0,0,15.74,2025,7,27,6,30,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False
19,1,MYSOORE DHAL BULK KG,Pulses,1,265.0,15,225.25,0,60.14,2024,11,7,3,45,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
54,1,KNORR SEASONING CUBE 15*20G,Seasoning & Coconut Cream,4,50.0,0,200.0,0,52.84,2024,9,5,3,36,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False
50,1,EVA SANITARY NAPKIN DRYTEX WINGS 20S,Personal Hygiene,1,320.0,0,320.0,0,89.44,2025,3,25,1,13,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
41,0,Goldi Jumbo Chicken Sausages 330g,Sausages,3,468.0,15,1193.4,7,330.8,2025,4,14,0,16,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False
47,0,EVA SANITARY NAPKIN DRYTEX WINGS 20S,Personal Hygiene,4,320.0,5,1216.0,18,362.97,2025,2,1,5,5,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True
57,0,RICE SUPIRI KEERI SAMBA BULK KG,Pulses,1,291.0,10,261.9,0,48.0,2025,1,28,1,5,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
25,0,RICE SUPIRI KEERI SAMBA BULK KG,Pulses,1,291.0,0,291.0,0,89.81,2024,8,5,0,32,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False
34,1,NIPUNA RICE SUPIRI KEERI SAMBA 1KG,Pulses,3,1225.0,0,3675.0,7,672.09,2025,4,5,5,14,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
55,0,WATAWALA KAHATA TEA POUCH 400G,Tea,4,500.0,0,2000.0,7,399.45,2025,5,26,0,22,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
56,0,NIPUNA RICE SUPIRI KEERI SAMBA 1KG,Pulses,1,1225.0,5,1163.75,13,358.78,2025,2,25,1,9,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False
46,1,Goldi Chicken Meatballs 500g,Meatballs,3,880.0,5,2508.0,19,741.37,2024,8,17,5,33,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False
42,0,WATAWALA KAHATA TEA POUCH 400G,Tea,3,500.0,10,1350.0,17,324.22,2024,9,8,6,36,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False
53,1,Garlic 250g,Vegetables,2,230.0,15,391.0,0,67.01,2024,9,27,4,39,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
40,1,Prima Chocolate Swiss Roll 225g,Cakes,4,552.5,0,2210.0,8,436.37,2024,12,13,4,50,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False
43,0,VELVET HAND WASH REFILL ROSE 200ML,Hand & Body Care,4,175.0,0,700.0,9,198.2,2025,4,7,0,15,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True
52,1,EVA SANITARY NAPKIN DRYTEX WINGS 20S,Personal Hygiene,2,320.0,10,576.0,9,131.27,2025,2,11,1,7,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True
26,0,MYSOORE DHAL BULK KG,Pulses,2,265.0,10,477.0,0,141.99,2025,4,25,4,17,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
23,0,CLOGARD TOOTHPASTE 120G,Oral Care,3,248.0,0,744.0,17,228.13,2025,4,10,3,15,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
55,1,carrot 500g,Vegetables,2,305.0,0,610.0,3,171.28,2025,6,22,6,25,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False
38,1,MANGO - K/C,Inorganic,1,129.0,15,109.65,0,31.44,2025,2,12,2,7,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
40,1,SUNQUICK B/CURRENT STD 330ML,Concentrated Fruit Drinks,3,490.0,5,1396.5,20,242.22,2024,9,30,0,40,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False
35,0,RITZBURY BLUEBERRY CHOCOLATE 45G,Confectionery,1,120.0,15,102.0,0,19.12,2025,3,22,5,12,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False
27,1,RITZBURY BLUEBERRY CHOCOLATE 45G,Confectionery,1,120.0,5,114.0,0,35.8,2025,6,23,0,26,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
51,0,WATAWALA KAHATA TEA POUCH 400G,Tea,2,500.0,15,850.0,9,245.43,2025,3,29,5,13,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False
19,1,BABY CHERAMY SOAP POKURUWA SADUN 5IN1,Baby Needs,2,530.0,10,954.0,17,185.19,2025,6,13,4,24,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True
51,1,MILO PACKET 600G,Malt Drink,1,645.0,0,645.0,6,119.38,2025,3,16,6,11,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False
42,0,Green Chillies 100g,Vegetables,4,34.0,15,115.6,0,21.9,2024,9,23,0,39,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False
33,1,RICHLIFE CHOCOLATE FLY MILK 180ML,RTD Beverages,3,140.0,10,378.0,0,118.19,2025,2,22,5,8,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
44,1,TOP CRUST BREAD,Production Bakery,3,69.0,10,186.3,0,39.12,2025,5,31,5,22,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False
31,1,NESCAFE ICE COLD COFFEE 180ML,RTD Beverages,1,160.0,10,144.0,0,39.16,2025,3,8,5,10,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
22,1,KNORR SEASONING CUBE 15*20G,Seasoning & Coconut Cream,2,50.0,15,85.0,0,15.4,2024,11,28,3,48,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False
23,1,RITZBURY BLUEBERRY CHOCOLATE 45G,Confectionery,4,120.0,15,408.0,0,113.05,2025,7,17,3,29,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False
58,0,EH GINGER BEER 1.5L,Juices & Carbonates,3,220.0,10,594.0,4,179.83,2024,11,15,4,46,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
21,1,Anchor Full Cream Milk Powder 400g,Milk Powder,2,1200.0,15,2040.0,9,695.56,2025,7,4,4,27,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False
